School Number,School Code,Name,District,ENG,NEP,MATH,SCI,SOC,HPE,TAP,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT,SEM
73,2037,ITHUNG MA VI RANITAR,PANCHTHAR,11.2,33.3,20.5,15.5,26.8,39.9,57,54,0,0,2,0,2,52,3.7,-21.47
74,2038,KALIKA SECONDARY SCHOOL BABUNGA NAGIN,PANCHTHAR,21.2,49.8,29.9,27.8,39.5,47.1,36,36,0,2,11,0,13,23,36.1,0.75
75,2040,SIDDHA MA VI PANCHAMI,PANCHTHAR,26.5,36.1,36.3,27.1,31.8,32.8,64,64,0,1,17,13,31,33,48.4,6.91
76,2041,INDRAWATI MA VI HANGUM,PANCHTHAR,23.1,38,33.1,23.2,29.8,34.1,49,49,0,0,11,9,20,29,40.8,1.49
77,2042,SIDDHA DEVI MA VI SIDIN,PANCHTHAR,17.3,39.3,18.5,21.7,28.4,41.1,71,71,0,0,8,0,8,63,11.3,-16.04
78,2043,JALA SINGH MA VI PAUWA SARTAP,PANCHTHAR,14.8,44.9,29.9,28.1,40.4,38.5,32,32,0,3,5,0,8,24,25,-6.34
79,2044,SARSWATI MA VI KHUNGA EAKTIN,PANCHTHAR,17.2,42.4,27.2,30.4,35.9,35.2,34,34,0,0,2,0,2,32,5.9,-20.38
80,2045,SINGHA DEVI MA VI KURUMBA SIKTEMBA,PANCHTHAR,22.9,39.3,33.8,24,28.3,35.2,38,38,0,2,7,1,10,28,26.3,-6.14
81,2046,SARBAJANIK MA VI LIMBA,PANCHTHAR,27.3,42.9,44.2,28,38.8,39.6,29,29,0,0,20,3,23,6,79.3,27.97
82,2048,SINGHPUR PASHUPATI MA VI AMARPUR,PANCHTHAR,26,38.6,36.7,27.4,33,39.6,65,64,0,4,22,5,31,33,48.4,8.85
83,2049,SIDDHA MA VI TINGDEN RANIGAUN,PANCHTHAR,20.5,35.3,25.2,22.6,31.4,35.3,38,37,0,0,7,3,10,27,27,-6.93
84,2052,JANAJYOTY SECONDARY ENGLISH BOARDING SCHOOL KURUMBA,PANCHTHAR,14.2,39.3,27.9,19,31.7,35.7,15,15,0,0,0,0,0,15,0,-24.71
85,2053,BHAGAWATI MA VI DURDIMBA,PANCHTHAR,30.9,43.4,39.1,28.7,45.6,45.7,19,19,0,0,16,0,16,3,84.2,32.2
86,2054,BUDDHA MA VI FALAICHA-3,PANCHTHAR,29.3,46.3,36.8,28.3,46.2,40.5,22,22,0,0,16,2,18,4,81.8,29.66
87,2055,SATYA HANGMA MA VI ENABUNG,PANCHTHAR,26.7,40.8,33.2,23.9,34.3,33.9,41,41,0,0,13,6,19,22,46.3,5.48
88,3000,PRIVATE ILAM,ILAM,29.3,29.7,10.7,11.7,24.7,35,3,3,0,0,0,0,0,3,0,-24.94
89,3001,ADARSHA MA VI ILAM,ILAM,33,47.8,36.7,32.1,44.6,49.6,263,263,5,46,97,4,152,111,57.8,21.59
90,3002,KARFOK VIDYAMANDIR MA VI PANCHAKANYA,ILAM,29.1,42.9,38.3,25.2,42.7,39.4,223,223,2,14,86,15,117,106,52.5,14.97
91,3003,NAMSALING MA VI NAMSALING,ILAM,22.9,42.2,35.3,28.2,40.6,40.8,97,97,0,3,31,11,45,52,46.4,7.32
92,3004,BHANUBHAKTA MA VI MANGALBARE,ILAM,29.3,44.3,33.2,30.2,44.7,47.4,204,202,0,26,74,2,102,100,50.5,14.43
93,3005,SINGHA DEVI MA VI AMCHOK,ILAM,24.3,39,32.1,30,39.2,39.7,119,119,0,5,32,19,56,63,47.1,7.82
94,3006,JITPUR MA VI JITPUR,ILAM,25.9,43.8,39.4,28.2,43.1,38.4,106,106,1,8,31,11,51,55,48.1,9.59
95,3007,BOUDDHADHAM MA VI PASHUPATINAGAR,ILAM,28.5,40.7,25.7,22.8,45.7,37.7,119,117,0,4,25,8,37,80,31.6,-1.74
96,3008,SARASWATI MA VI SULUBUNG,ILAM,31.1,41.4,37.2,29.3,39.6,39.5,68,68,0,6,30,9,45,22,66.2,21
97,3009,AMAR KALYAN MA VI NAYABAZAR,ILAM,31.7,46.8,40.4,33,43.8,45.7,77,77,0,11,43,3,57,20,74,27.8
98,3010,MAHENDRODAYA MA VI GAJURMUKHI,ILAM,23.3,42,33.5,25.7,40.1,39,113,113,0,1,45,8,54,59,47.8,8.75
99,3011,JANAK MA VI SHREE ANTU,ILAM,31.2,48.7,37.7,33.9,34.9,41.7,86,86,0,7,33,5,45,41,52.3,12.34
100,3012,CHISOPANI MA VI MIKLUNG BANJHO,ILAM,22.8,39.7,23.7,23.6,31.6,40.4,25,25,0,0,7,1,8,17,32,-3.36
101,3013,AMAR MA VI BARBOTE,ILAM,30.7,48,41.1,27.9,44.3,40,144,143,0,22,65,3,90,52,62.9,22.07
102,3014,SARASWATI MA VI BATASE LAXMIPUR,ILAM,23.8,39.7,25.8,26.7,37.8,41.3,157,157,0,8,39,4,51,106,32.5,0.27
103,3016,KRISHNASHRAM MA VI KANYAM,ILAM,29.8,49.7,49.2,37.9,41.5,41.6,98,98,0,10,75,5,90,8,91.8,39.58
104,3017,KANKAI MA VI DANABARI,ILAM,22.1,39.9,29,25.3,36.8,37.2,171,169,0,3,45,8,56,113,33.1,0.29
105,3018,JANATA MA VI KANCHANPUR,ILAM,28.3,41.7,44,29,39.5,38,207,205,1,11,122,28,162,40,79,31.94
106,3019,JYOTISADAN BOARDING SCHOOL MALAPATH,ILAM,10.5,29,11.5,13.5,26,26,2,1,0,0,0,0,0,1,0,-24.98
107,3020,FIKKAL MA VI FIKKAL,ILAM,26.6,41.8,33.2,26.5,34.8,40.8,188,187,0,4,68,23,95,92,50.8,11.78
108,3021,SHANTI NIKETAN MA VI KOLBUNG,ILAM,25.6,50.7,38.9,34.7,39.1,40.7,80,80,1,8,35,4,48,32,60,18.09
109,3022,BHAGAWATI MA VI GOLAKHARKA,ILAM,23.5,47.1,30.5,22,40,35.9,70,70,0,5,16,1,22,48,31.4,-1.72
110,3023,SINGHA DEVI MA VI EKATAPPA,ILAM,20.4,38.5,39.9,33.2,50.6,44.2,112,112,0,6,40,4,50,62,44.6,7.55
111,3024,NEPALTAR MA VI SAKHEJUNG,ILAM,20.2,46.5,38.7,30.7,41.7,36.8,117,117,1,8,31,4,44,73,37.6,3.34
112,3025,JANATA MA VI CHISAPANI,ILAM,20,40.4,18.9,22.8,36.4,36.8,58,58,0,0,6,3,9,49,15.5,-13.98
113,3026,HIMALAYA MA VI GORKHEY,ILAM,26.5,44.6,24.1,25.9,51.1,38.9,87,86,0,9,14,0,23,63,26.7,-4
114,3027,SHYAMBAL MA VI MAIMAJHUWA,ILAM,26.8,37.9,33.4,27.3,37,40.4,30,30,0,0,14,4,18,12,60,14.63
115,3028,SANGRUMBA MA VI SANGRUMBA,ILAM,23,44.3,40.9,25.5,45.9,42.6,81,81,0,5,30,0,35,46,43.2,6.48
116,3029,PURNA SMARAK MA VI GODAK,ILAM,24.7,40,38.8,26.7,41.7,41.5,64,64,0,3,19,10,32,32,50,8.86
117,3030,MAIPOKHARI SAN MA VI MAIPOKHARI SULUBUNG,ILAM,28.7,43.4,36.1,28.5,41,43.2,31,31,0,1,14,6,21,10,67.7,19.62
118,3031,BHAGAWATI MA VI JAMUNA,ILAM,17.6,41.3,28.4,28.8,39.8,42.2,58,58,0,2,11,3,16,42,27.6,-5.41
119,3032,MIKLACHONG MA VI SAKPHARA,ILAM,19.3,35.1,16.3,22,31.2,40.5,32,32,0,0,4,0,4,28,12.5,-15.95
120,3033,KHANDRUNG MA VI SIDDHITHUMKA,ILAM,21.6,42.5,35.6,28.5,43.1,41.2,107,107,0,2,39,2,43,64,40.2,4.19
121,3039,SARASWATI MA VI BHALUTAR,ILAM,24.5,39.7,39.5,26.5,38,29.3,148,143,0,5,57,17,79,64,55.2,14.16
122,3040,SARASWATI MA VI SOYANG,ILAM,29.8,42.5,37.8,28.4,38.6,45.5,64,63,0,6,35,4,45,18,71.4,24.92
123,3041,SHANTIPUR MA VI SHANTIPUR,ILAM,29.8,42.9,34.5,27.1,43.5,42,51,51,0,0,30,5,35,16,68.6,21.23
124,3042,BHAGAWATI MA VI DHUSENI,ILAM,25.8,43.1,26.1,24.6,41.6,43.4,60,60,0,3,18,2,23,37,38.3,2.28
125,3044,PANCHA MA VI SHANTIDANDA-8,ILAM,26.5,46.2,33.2,28.4,47.5,42.8,58,57,0,3,21,6,30,27,52.6,11.13
126,3045,BINAPANI MA VI PUWAMAJHUWA-3,ILAM,14.6,37.8,25.6,28.2,37.5,34,68,68,0,0,8,1,9,59,13.2,-14.93
127,3047,DAMBAR DEVI MA VI CHAMAITA,ILAM,35.4,52,58.3,47,56.6,49.9,52,52,0,25,27,0,52,0,100,49.5
128,3048,LAXMI ADARSHA MA VI MAHAMAI,ILAM,19.1,37.7,25.3,22.8,33.4,31.5,71,71,0,0,4,8,12,59,16.9,-13.46
129,3049,ILAM VIDYA MANDIR MA VI NARAYANSTHAN,ILAM,36.4,59.4,48.8,32.3,45.5,42.5,40,40,2,11,16,0,29,11,72.5,29.59
130,3050,EBHANG MA VI EBHANG,ILAM,23.1,40.5,35.1,27.8,42.1,40.1,35,35,0,0,14,7,21,14,60,14
131,3053,GYANODAYA MA VI JOGMAI,ILAM,25.2,40.7,37.2,28.5,38.3,44.7,38,37,0,2,19,0,21,16,56.8,14.69
