School Number,School Code,Name,District,ENG,NEP,MATH,SCI,SOC,HPE,TAP,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT,SEM
2490,29670,VALLEY VIEW ENGLISH SCHOOL NEW BANESHWOR,KATHMANDU,61.7,71.8,81.8,55,65,64.6,12,12,6,6,0,0,12,0,100,63.56
2491,29671,HALCHOWK SECONDARY SCHOOL ICHANGUNARAYAN,KATHMANDU,29.2,60.9,42.5,31.3,43.4,46,15,15,0,1,11,0,12,3,80,30.12
2492,32000,PRIVATE LALITPUR,LALITPUR,33.3,43.9,25.4,24.1,25.8,44.7,195,195,0,1,24,9,34,160,17.4,-9.83
2493,32001,ADARSHA SARAL MA VI NAGBAHAL,LALITPUR,28.6,53.3,36.4,33.6,48.1,41.1,21,21,0,4,6,0,10,11,47.6,9.92
2494,32002,CHANDI BIDYASHRAM MA VI NAKBAHIL,LALITPUR,23.7,40.8,23.6,28.3,41.7,44.5,58,58,0,2,12,2,16,42,27.6,-5.22
2495,32003,TIKA VIDYASHRAM MA VI SANEPA,LALITPUR,33.2,49.1,49.3,33.7,48,51,29,29,0,4,25,0,29,0,100,44.78
2496,32004,DEEPMALA MA VI THECHO,LALITPUR,42.4,57.1,55,33.5,58,50.9,19,19,0,9,6,0,15,4,78.9,34.57
2497,32005,BAJRABARAHI MA VI CHAPAGAUN,LALITPUR,25.7,45,49.4,36.3,51,42,45,45,0,4,23,0,27,18,60,17.47
2498,32006,SARASWATI MA VI THECHO,LALITPUR,23.7,48.6,38.8,29.2,44.7,43.4,50,50,0,5,16,0,21,29,42,5.55
2499,32007,TRI-PADMA VIDYASHRAM MA VI PULCHOWK,LALITPUR,47.7,58.7,64.1,41.5,53.6,54,84,84,3,48,32,0,83,1,98.8,51.48
2500,32008,MAHANKAL MA VI GOTIKHEL,LALITPUR,28.4,50.6,44.1,37.5,55.7,46.8,68,68,0,17,23,0,40,28,58.8,19.12
2501,32009,MAHENDRA ADARSHA MA VI IMADOL,LALITPUR,26.6,47.8,30.3,34,45.6,37.5,44,44,0,4,13,0,17,27,38.6,3.05
2502,32010,SHRAMIK SHANTI MA VI CHYASAL,LALITPUR,34,49.9,40.1,37.6,45.1,41.5,40,40,0,8,21,0,29,11,72.5,27.2
2503,32011,ADARSHA KANYA NIKETAN MA VI MANGALBAZAR,LALITPUR,29.5,47.4,37.3,37.1,44.9,38.8,94,94,0,13,37,7,57,37,60.6,18.64
2504,32012,KITINI MA VI KITINI TOUKHEL,LALITPUR,29.4,47.8,23.9,29.1,44.5,39.8,99,98,0,13,18,1,32,66,32.7,0.45
2505,32013,PATAN MA VI PATAN DHOKA,LALITPUR,25.5,44.2,26.7,33.7,43.5,45.9,66,66,0,6,18,0,24,42,36.4,1.94
2506,32014,NAMUNA MACHHINDRA MA VI LAGANKHEL,LALITPUR,31.2,46.9,38.4,35.4,53.8,47.3,84,84,1,14,41,1,57,27,67.9,24.7
2507,32015,KENT MA VI KUMARIPATI,LALITPUR,21,33,12,12,11.5,24,2,2,0,0,0,0,0,1,0,-12.46
2508,32016,MAHENDRA BHRIKUTI MA VI EKANTAKUNA,LALITPUR,21.8,39.9,28.9,29.8,42.2,41.8,60,60,0,3,17,1,21,39,35,0.21
2509,32017,SARASWATI MA VI LELE,LALITPUR,24,48.1,33,20.1,52,47.5,54,54,0,6,12,0,18,36,33.3,-0.08
2510,32018,BAGHA BHAIRAV MA VI BATASE,LALITPUR,27.4,51.2,37.9,36.8,50,48.9,54,54,0,8,28,0,36,18,66.7,22.88
2511,32019,SHRAMAJIT KISHOR MA VI LUNKHUSI,LALITPUR,22.6,39.7,18.5,28.1,40.2,33.6,53,53,0,1,4,2,7,46,13.2,-15.25
2512,32020,ADARSHA VIDYA MANDIR MA VI MANBHAWAN,LALITPUR,56.6,60.6,74.9,61.9,74.2,56.4,208,208,64,140,4,0,208,0,100,63.84
2513,32021,ST. XAVIER'S MA VI JAWALAKHEL,LALITPUR,60.4,63.8,78.2,61.5,67.8,60.9,128,128,62,64,2,0,128,0,100,65.31
2514,32022,ST. MARY'S MA VI JAWALAKHEL,LALITPUR,60.3,64.6,76.3,58.8,68.3,61.3,170,170,58,111,1,0,170,0,100,63.85
2515,32023,MADAN SMARAK MA VI PULCHOWK,LALITPUR,32.3,51.6,40.3,36.3,47.5,49,132,132,3,32,50,1,86,46,65.2,25.1
2516,32024,MAHENDRA ADARSHA VIDYASHRAM MA VI SATDOBATO,LALITPUR,54.8,57.2,61.1,36.1,62.6,57.5,48,48,4,29,7,0,40,8,83.3,42.15
2517,32025,BAL KUMARI MA VI SUNAKOTHI,LALITPUR,26.5,45.1,33.5,32.6,44.5,45.1,59,59,0,6,27,1,34,25,57.6,16.11
2518,32026,SHREE KRISHNA MA VI DHAPAKHEL,LALITPUR,26,43.4,35.5,36.2,50.7,40.3,36,36,0,2,15,1,18,18,50,9.83
2519,32027,PRAGATI SIKSHYA SADAN MA VI KUPONDOL,LALITPUR,33.6,58.7,51.6,44.3,54.5,43.7,18,18,0,7,10,0,17,1,94.4,43.95
2520,32028,SHANTI VIDYASHRAM MA VI BAKUMBAHAL,LALITPUR,36.1,54.5,49.3,37.4,50.4,50.1,39,39,0,9,22,1,32,7,82.1,33.73
2521,32029,SISNERI MA VI SISNERI,LALITPUR,25.7,49.5,31.6,35.9,43.6,40.7,14,14,0,1,5,0,6,8,42.9,5.09
2522,32030,MAHALAXMI MA VI LUBHU,LALITPUR,27.2,55,37.9,26.5,55.3,42.6,111,111,1,18,34,0,53,58,47.7,11.63
2523,32031,ADARSHA SAULA YUBAK MA VI SAINBU BUNGAMATI,LALITPUR,40.9,58.3,48,37.9,56,55.3,84,84,1,39,37,0,77,7,91.7,44.62
2524,32032,LALITPUR SECONDARY BOARDING SCHOOL,LALITPUR,53.7,66.6,73,57.9,59,55.4,86,86,25,58,3,0,86,0,100,61.04
2525,32033,BISHANKHU NARAYAN MA VI GODAMCHOUR,LALITPUR,35.2,51,49,42.2,59.6,49.9,30,30,1,14,9,0,24,6,80,36.38
2526,32034,MAHAKALI DEVI MA VI MAHANKAL KHOLCHA,LALITPUR,34.3,56.6,51.1,32.7,62.4,53.6,30,30,0,12,14,0,26,4,86.7,39.07
2527,32035,BAL BINOD MA VI PURNACHANDI,LALITPUR,27.8,50.7,34.9,32.9,49.9,44,38,38,0,6,13,1,20,18,52.6,12.94
2528,32036,PHULCHOKI MA VI THAIBA,LALITPUR,37.5,57.6,41.5,31,51,45.3,53,53,0,10,24,2,36,17,67.9,23.81
2529,32037,ARNIKO MA VI KHUMALTAR,LALITPUR,54,57.1,61.9,50.6,57.1,55.7,20,20,0,16,3,0,19,1,95,49.51
2530,32038,LUBHU SADHARAN MA VI LUBHU,LALITPUR,30.3,44.1,33.5,36.9,43.2,40.7,41,41,0,5,12,2,19,22,46.3,8.06
2531,32039,PRABHAT MA VI TYAGYAL,LALITPUR,31,51.5,31.9,36.7,48.8,39,81,81,0,10,33,0,43,38,53.1,13.92
2532,32040,MOUNT VALLEY BOARDING SCHOOL LAGANKHEL,LALITPUR,43.2,49.8,30.9,28.6,53.9,49.8,17,17,0,2,4,0,6,11,35.3,0.62
2533,32041,NAMUNA MACHHINDRA AWASIYA MA VI LAGANKHEL,LALITPUR,46.7,53.6,47.5,30,51.3,47.9,15,14,0,7,6,0,13,1,92.9,44.19
2534,32042,GYANODAYA BAL BATIKA MA VI SANEPA,LALITPUR,59.5,64.5,79.2,55.8,69.5,58.3,199,199,55,142,2,0,199,0,100,63.27
2535,32043,NARAYANI MA VI GIMDI,LALITPUR,31.3,56,44.5,35.7,55.1,47,10,10,0,3,6,0,9,1,90,39.69
2536,32044,BAAL VIDHYA GRIHA MA VI MAN BHAWAN,LALITPUR,46.7,41.8,40.6,22.2,55.3,50.5,12,12,0,4,3,0,7,5,58.3,18.77
2537,32045,CHHAMPI DEVI MA VI CHHAMPI,LALITPUR,25.9,46,41.6,36.3,47.6,43.1,69,69,0,13,18,2,33,36,47.8,10.64
2538,32046,PURNACHANDI MA VI PURNACHANDI,LALITPUR,53.1,54.6,62,54.4,58.3,59.2,25,25,4,14,7,0,25,0,100,54.64
2539,32047,LITTLE ANGELS MA VI HATTIBAN,LALITPUR,56.7,60.1,70,54.5,62.7,56.3,549,549,153,326,51,0,530,19,96.5,60.71
2540,32048,GANESH MEMORIAL MA VI SATDOBATO LAGANKHEL,LALITPUR,47.7,58.8,56.4,48.8,53.8,50.5,20,19,1,14,2,0,17,2,89.5,46.5
2541,32049,SIDDHI MANGAL MA VI SIDDHIPUR,LALITPUR,30.3,56.4,57.7,37.7,45.6,41.1,46,46,0,12,24,0,36,10,78.3,31.96
2542,32050,FUTURE STARS MA VI JAWALAKHEL,LALITPUR,51.2,59.4,66.2,48.6,50.3,51.5,109,109,11,70,26,0,107,2,98.2,54.31
2543,32051,SAGARMATHA AWASIYA MA VI JAWALAKHEL,LALITPUR,48.3,53.7,48.5,43.4,54.2,48.3,26,26,2,12,3,0,17,9,65.4,27.64
2544,32052,EVEREST SECONDARY BOARDING SCHOOL THAIBA,LALITPUR,56.6,67,67.2,54,66.3,56.9,24,24,8,14,2,0,24,0,100,59.97
2545,32053,SHREE MAGAR GAUN MA VI SHANKHU,LALITPUR,22.4,48.4,42.3,26.3,48.1,43.8,52,52,0,5,18,0,23,29,44.2,7.05
2546,32054,BASHISTHA MA VI CHAPAGAUN,LALITPUR,48.7,55.9,61.1,35.6,64.1,50.3,14,14,2,7,3,0,12,2,85.7,43.54
2547,32055,KALI DEVI MA VI PYUTAR,LALITPUR,27.1,47.1,41.3,23.8,56.7,46.8,35,35,0,5,15,1,21,14,60,17.64
2548,32056,BABU VIDYAMANDIR SECONDARY SCHOOL THASIKHEL,LALITPUR,50.2,46.1,42.8,29.2,55.8,48.7,33,33,0,11,8,0,19,14,57.6,18.66
2549,32057,GEMS (GRADED ENGLISH MEDIUM SCHOOL) SANEPA,LALITPUR,62.5,70.4,85.1,62.9,67.7,61.7,189,189,127,61,0,0,188,0,99.5,69.5
2550,32058,NIGHTINGALE INTERNATIONAL SECONDARY SCHOOL KUPONDOLE,LALITPUR,61.7,68.2,88,58.9,73.7,59,103,103,73,30,0,0,103,0,100,68.77
2551,32059,SUDESHA MA VI JAWALAKHEL,LALITPUR,54.6,51.9,64.7,38.1,64.3,56.8,35,35,1,25,7,0,33,2,94.3,49.07
2552,32061,CHETANA BIDHYASHRAM MA VI LAMATAR,LALITPUR,51.1,56.3,61.8,47.5,58.7,41.7,22,22,0,17,5,0,22,0,100,52.58
2553,32062,DIBYA JYOTI ENGLISH MA VI LUBHU,LALITPUR,41.1,44.9,48.3,41.9,49.7,36.8,30,30,0,9,12,1,22,8,73.3,28.46
2554,32063,BALDEEKSHA SADAN MA VI SAUGAL,LALITPUR,52.1,62.9,69.8,52.6,58,53.1,74,73,8,62,2,0,72,1,98.6,56.78
2555,32064,HINDU VIDYAPEETH MA VI BALKUMARI,LALITPUR,56.8,61.3,85.3,60.7,73.4,54.8,33,33,11,22,0,0,33,0,100,61.18
2556,32065,HILL TOP ENGLISH SECONDARY SCHOOL CHAPAGAON,LALITPUR,45.4,57.9,56.9,36.5,53.5,52.4,51,51,2,24,19,0,45,6,88.2,42.56
2557,32066,CHILDREN'S PARADISE MA VI PULCHOK,LALITPUR,48.9,54.6,55.5,36.7,56.9,49,17,17,0,10,5,0,15,2,88.2,42.24
2558,32067,THE RISING SCHOOL GWARKO,LALITPUR,52.6,63.7,74.2,53.7,60.8,59.8,39,39,10,27,1,0,38,1,97.4,57.64
2559,32068,DEVI MA VI DEVICHAUR,LALITPUR,17.5,46.1,31.9,23.2,46,38.8,24,24,0,3,2,0,5,19,20.8,-8.92
2560,32069,GLOBAL HIGH SCHOOL CHAKUPAT,LALITPUR,54.6,56.6,59.7,54.6,59.2,53.7,14,14,2,9,3,0,14,0,100,54.97
2561,32070,LALI GURANS AWASIYA MA VI,LALITPUR,53.1,59.7,66.1,51.6,59.3,53.9,36,36,3,27,5,0,35,1,97.2,53.12
2562,32072,HARISIDDHI MA VI HARISIDDHI,LALITPUR,35.5,50.5,46.4,39.8,49.7,49,54,54,1,17,25,0,43,11,79.6,34.25
2563,32073,NEW LIFE ENGLISH SECONDARY SCHOOL TALCHEKHEL,LALITPUR,41.3,55.3,42,41.6,41.1,45.3,7,7,0,2,2,0,4,3,57.1,17.28
2564,32074,ADARSHA ENGLISH BOARDING SCHOOL MACHHINDRABAHAL,LALITPUR,51.9,53.9,60.3,37.1,59.8,55.1,16,16,0,10,4,0,14,2,87.5,42.18
2565,32075,BALKUMARI MA VI PRAYAGPOKHARI,LALITPUR,53.6,65.1,73.4,58.9,58.7,59.4,17,17,3,12,1,0,16,1,94.1,52.82
2566,32076,MOON LIGHT MA VI SATDOBATO,LALITPUR,51.3,57.8,77,47.6,42.8,52.2,32,32,4,23,5,0,32,0,100,55.74
2567,32077,LITTLE STAR ENGLISH SCHOOL THECHO,LALITPUR,45.6,63.8,68.3,33.6,60.5,46.7,12,12,1,7,3,0,11,1,91.7,46.83
2568,32078,UMA MAHESHWAR AWASIYA MA VI TIKHEDEWAL,LALITPUR,46.7,58.6,71.7,48.4,54.3,56.2,24,24,1,20,3,0,24,0,100,54.59
2569,32079,SHINING STARS BOARDING SCHOOL SANEPA,LALITPUR,60.6,62.4,84.5,53.6,74.3,61.4,16,16,4,12,0,0,16,0,100,59.47
2570,32080,SHREE 5 MAHENDRA MA VI THULADURLUNG,LALITPUR,21.9,42.8,35.4,32.7,46.6,44.4,20,20,0,2,1,0,3,17,15,-13.24
2571,32081,JANA JAGRITI MA VI EKUDOLE,LALITPUR,29,53,44.3,32.8,56.8,50.7,26,26,0,7,11,0,18,8,69.2,25.59
2572,32082,BAL KUNJA MA VI LUBHU,LALITPUR,44.1,59.9,59.7,40.7,54.1,47.8,28,28,5,8,10,0,23,5,82.1,39.76
2573,32083,NAVA PRABHAT MA VI PULCHOWK,LALITPUR,52.8,63.7,65.1,51,50.8,57.4,32,32,5,19,8,0,32,0,100,55.09
2574,32084,PRABHAT TARA SECONDARY BOARDING SCHOOL HARISIDDHI,LALITPUR,45,64.3,67.8,36.5,55.8,48,4,4,0,3,0,0,3,1,75,35.08
2575,32085,BANI BILAS MA VI PYANGAUN,LALITPUR,34,58.9,56.3,29.6,51.7,45.8,62,62,2,17,33,0,52,10,83.9,37.16
2576,32086,IDEAL MODEL SCHOOL JAWALAKHEL,LALITPUR,57.4,54,68.4,43.7,62.2,58.2,51,51,6,41,3,0,50,1,98,55.63
2577,32087,JANA BIKASH MA VI JHARUWARASI,LALITPUR,31.7,49.5,39.8,32.5,58.7,47.4,31,31,0,4,17,0,21,10,67.7,22.93
2578,32088,CRESCENT SCHOOL BHOLEDHOKA,LALITPUR,51.3,57.7,52.7,35,48.3,53.3,3,3,0,3,0,0,3,0,100,55.06
2579,32090,CHILDREN'S HEAVEN ENGLISH BOARDING SCHOOL KUMARIPATI,LALITPUR,51.8,51.2,54.1,51.8,58.5,49.4,25,25,2,13,6,0,21,4,84,41.01
2580,32091,LALIT SECONDARY BOARDING SCHOOL SATDOBATO,LALITPUR,46.2,54.4,65.6,47.1,53.1,53.6,16,16,3,5,6,0,14,2,87.5,43.74
2581,32092,SHUVATARA SCHOOL SANEPA,LALITPUR,58,61.1,70.8,54.1,58.4,50.8,83,83,16,56,10,0,82,1,98.8,57.32
2582,32093,ADVANCE INTERNATIONAL MODEL SCHOOL LAGANKHEL,LALITPUR,53.1,59.5,63.2,55.3,58.5,57.9,33,33,6,19,4,0,29,4,87.9,47.45
2583,32094,GYANKUNJA ENGLISH SCHOOL LAGANKHEL,LALITPUR,46.3,59.2,58,49.6,57.9,47.4,41,41,1,28,6,0,35,6,85.4,42.65
2584,32095,KALI DEVI MA VI MALTA,LALITPUR,23.6,44,25.2,23.3,41.8,49.5,20,20,0,1,7,0,8,12,40,3.01
2585,32096,JALAPA MA VI DHAPAKHEL,LALITPUR,27.3,46.8,40,36.6,52.8,40,26,26,0,2,10,0,12,14,46.2,7.61
2586,32097,UDAYA KHARKA MA VI CHAPAGAUN,LALITPUR,32.1,60.3,54.9,35.1,56.5,51.1,25,25,0,10,11,0,21,4,84,37.18
2587,32098,ALPHA'S MA VI JAWALAKHEL,LALITPUR,52.1,48.9,37.5,37.9,60.6,43.8,15,15,0,2,9,0,11,4,73.3,26.45
2588,32099,SHUBHAKAMANA BOARDING SCHOOL BALKUMARI,LALITPUR,43.4,58.7,66.9,46,44.5,44.6,28,28,1,11,12,0,24,4,85.7,39.34
2589,32100,SHIKHAR BOARDING SCHOOL JAWALAKHEL,LALITPUR,53,60.1,63.1,46.1,49.7,46.6,39,39,1,22,15,0,38,1,97.4,49.31
2590,32101,BALESHWORI MA VI BHARDEU,LALITPUR,31.2,47.4,42.3,22.5,46,49.2,10,10,0,1,4,1,6,4,60,15.86
2591,32102,VALLEY PUBLIC MA VI LAMATAR,LALITPUR,52.9,61.2,70.4,55.1,63,48.2,25,25,2,20,3,0,25,0,100,55.31
2592,32103,MOUNT MAKALU MA VI SHAIBU,LALITPUR,54.1,59.5,68.2,57.9,64.1,48.6,17,17,2,13,1,0,16,1,94.1,51.84
2593,32104,ASTER ACADEMY IMADOL,LALITPUR,51.4,57.9,51.9,59.8,61.2,49.1,18,18,0,16,2,0,18,0,100,53.95
2594,32105,BAL ANKUR MA VI THECHO,LALITPUR,48.6,56.4,67.1,46.1,61,47.9,27,27,0,18,8,0,26,1,96.3,48.85
2595,32106,PUSHPANJALI MA VI TAUKHEL,LALITPUR,58.9,53.1,64.9,53,67.6,55.4,14,14,2,12,0,0,14,0,100,57.65
2596,32108,SAMPURNA BOARDING SCHOOL NAKHIPOT,LALITPUR,48.2,60.7,70.8,49.8,56.1,50.7,12,12,0,9,2,0,11,1,91.7,46.48
2597,32109,RATO BANGALA SCHOOL PATANDHOKA,LALITPUR,65.3,60.1,72.6,63.7,68.1,56.5,54,54,12,42,0,0,54,0,100,59.73
2598,32111,EMERALD ENGLISH MA VI BAJRABARAHI CHAPAGAUN,LALITPUR,50.3,57.1,60.1,33.5,66.6,54.5,16,16,2,10,4,0,16,0,100,54.26
2599,32112,MAHENDRA GRAM MA VI TIKATHALI,LALITPUR,27.1,53.5,41.6,36.5,46.6,44.5,20,20,0,3,9,0,12,8,60,17.76
2600,32113,BIDHYADHISHWARI MA VI ASHRANG,LALITPUR,25.4,44,32.7,24.1,48.2,46.7,30,30,0,3,11,0,14,16,46.7,8.32
2601,32114,NIRMAL MA VI JHAMSIKHEL,LALITPUR,50.5,57.1,62,55.3,59.2,49.9,19,19,1,14,2,0,17,2,89.5,46.5
2602,32116,D A V SUSHIL KEDIA VISHWA BHARATI JAWALAKHEL,LALITPUR,55.4,60.4,62.6,48.6,56.3,49.6,59,58,1,49,7,0,57,1,98.3,53.5
2603,32117,MANJUSHREE BOARDING SCHOOL SAINBU BHAINSE PATY,LALITPUR,44.6,52,58.3,46.9,60.2,46.4,9,9,0,5,2,0,7,2,77.8,34.62
2604,32118,NEW MILLENNIUM HIGH SCHOOL JWAGAL KUPONDOLE,LALITPUR,57,62.7,67.3,51.9,58.4,51.6,9,9,1,7,1,0,9,0,100,55.63
2605,32119,YUWA PRATIBHA VIDHYA MANDIR KHOKANA,LALITPUR,28.2,53.8,42.9,36.4,50.5,39.7,50,50,0,8,16,0,24,26,48,10.35
2606,32120,BRIGHT FUTURE BOARDING MA VI SATDOBATO,LALITPUR,47.4,65,81.9,54.2,55.6,51.7,17,17,0,16,1,0,17,0,100,54.59
2607,32121,RUDRAYANI MA VI KHOKANA,LALITPUR,28.4,49.5,45.7,41.6,51.3,40.2,48,48,0,11,22,1,34,14,70.8,26.36
2608,32122,PURNATARA INTERNATIONAL BOARDING MA VI SATDOBATO,LALITPUR,51.7,61.3,71.4,56,57.5,58,15,15,2,12,1,0,15,0,100,56.67
2609,32123,I J PIONEER MA VI MAHALAXMISTHAN,LALITPUR,61.2,71.8,80.2,51,59.9,60.9,25,25,9,16,0,0,25,0,100,61.48
2610,32124,SURYODAYA SAI SECONDARY SCHOOL IMADOL,LALITPUR,50.2,62.1,79.8,51,53.6,58.2,32,32,2,27,3,0,32,0,100,55.48
2611,32125,INDRENI SECONDARY ENGLISH SCHOOL THECHO,LALITPUR,53.8,65.9,68.9,36.8,66.2,59.3,31,31,7,17,4,0,28,3,90.3,50
2612,32126,BRIGHT STAR WORKER'S ENGLISH SCHOOL HARISIDDHI,LALITPUR,45.6,46.8,50.1,37,57.4,45.6,18,18,0,7,8,0,15,3,83.3,36.45
2613,32127,SURYODAYA ENGLISH SCHOOL DHAPAKHEL,LALITPUR,54.6,57.5,63.7,44.3,60.1,58.9,28,28,1,21,6,0,28,0,100,53.45
2614,32128,BAL VIKAS MA VI KANIBAHAL,LALITPUR,54.3,63.1,76.6,46.1,46.7,59.2,19,19,1,16,2,0,19,0,100,54.92
2615,32129,ANNAPURNA ENGLISH BOARDING SCHOOL BAGDOL,LALITPUR,50.2,62,53.4,54.4,63.3,52.3,14,14,1,13,0,0,14,0,100,56.46
2616,32130,TRI RATNA CO-OPERATIVE SCHOOL BUNGMATI,LALITPUR,48.3,60.6,64.3,45.2,62.8,45.7,16,16,1,11,3,0,15,1,93.8,49
2617,32131,MACHHAPUCHHRE INTERNATIONAL SCHOOL KUSUNTI,LALITPUR,53.3,60,60.9,51.8,61.4,48.7,22,22,2,15,5,0,22,0,100,54.09
2618,32132,KANCHAN ENGLISH MA VI CHAPAGAON,LALITPUR,53.8,62.8,59.5,44,66.6,58.2,25,25,2,21,2,0,25,0,100,55.81
2619,32133,KSHITIZ ENGLISH BOARDING SCHOOL THAIBA,LALITPUR,48.8,60.8,71.4,47.6,58.4,54.2,5,5,0,5,0,0,5,0,100,55.1
2620,32134,VALLEY ENGLISH SECONDARY BOARDING SCHOOL CHAPAGAON,LALITPUR,43.5,53.5,55.7,38.3,54.6,48.2,19,19,2,6,9,1,18,1,94.7,45.76
2621,32135,PARADISE MA VI DHOBIGHAT,LALITPUR,57.2,67.1,63.5,50.1,59.3,53.3,19,19,1,14,3,0,18,1,94.7,50.05
2622,32136,NAVJEEVAN ENGLISH MA VI BAGHDOL,LALITPUR,43.4,55.6,51.8,39.1,52.4,49.6,13,13,0,4,9,0,13,0,100,46.59
2623,32137,MANJUSHREE ENGLISH BOARDING SCHOOL DHOBIGHAT,LALITPUR,47.4,54.7,47.8,39,50.3,43.9,36,36,2,16,8,0,26,10,72.2,31.61
2624,32138,PARIBODH BOARDING SCHOOL DHOBIGHAT,LALITPUR,49.5,61.4,72.2,47.8,62.6,53.1,14,14,3,9,2,0,14,0,100,57.05
2625,32139,ANAL JYOTI SCHOOL SUNAKOTHI DHOLAHITI,LALITPUR,47.1,58.7,62.2,37.3,62.1,55.2,26,26,3,15,4,0,22,4,84.6,43.19
2626,32140,B R L MEMORIAL SECONDARY SCHOOL KUPONDOL,LALITPUR,54.3,50.6,63.3,56.3,48,48.4,7,7,0,7,0,0,7,0,100,55.13
2627,32141,MODERN GRADED ENGLISH SCHOOL KUSUNTI,LALITPUR,49.4,55,39.9,30.3,52.5,55.8,12,12,1,4,1,0,6,6,50,15.58
2628,32142,DEEPKUNJ SECONDARY ENGLISH SCHOOL SAINBU,LALITPUR,32.1,44.3,47.4,32.7,41.6,36.2,21,21,0,6,6,1,13,8,61.9,20.24
2629,32143,JYOTI ACADEMY SATDOBATO,LALITPUR,48.8,50.9,51.8,44.4,56.7,48.5,79,79,2,43,20,0,65,14,82.3,39.58
2630,32144,RUPAK MEMORIAL INTERNATIONAL SCHOOL KUPONDOLE,LALITPUR,44.6,56.8,46.9,44.2,49.8,43.8,17,17,1,6,9,0,16,1,94.1,44.98
2631,32145,NAWADEEP SECONDARY ENGLISH SCHOOL CHAPAGAON,LALITPUR,50.1,57.9,68.1,44,60.4,53.3,7,7,0,5,2,0,7,0,100,51.56
2632,32146,LOTUS BOARDING SCHOOL THASIKHEL,LALITPUR,55.2,65.5,63.1,48.3,55.7,56,24,24,4,17,0,0,21,3,87.5,48.23
2633,32147,NALANDA ENGLISH BOARDING SCHOOL SATDOBATO,LALITPUR,50,66.5,62.8,57.4,58.3,55.6,8,8,0,7,1,0,8,0,100,53.59
2634,32148,SARASWATI VIDYA MANDIR SECONDARY SCHOOL THASIKHEL,LALITPUR,50.6,55.9,61.3,45.1,56.3,50.1,14,14,0,10,2,0,12,2,85.7,42.05
2635,32149,LOVE-BUDS (PREM MUNA) SCHOOL KUPONDOL,LALITPUR,45.7,48.2,31.3,36,40.7,44.7,6,6,0,1,2,0,3,3,50,10.95
2636,32151,GOTH BHANJYANG MA VI DALCHOKI,LALITPUR,22.8,50.4,26.3,26.9,45.6,49.8,29,29,0,2,8,0,10,19,34.5,-0.31
2637,32152,YASHODHARA BOUDDHA MA VI THAINA,LALITPUR,29.5,52.5,48.6,45.3,51.3,42.8,28,28,0,10,12,1,23,5,82.1,35.06
2638,32153,BUDDHA MA VI BADEGAUN THAIBA,LALITPUR,31.4,51.9,35.3,29.2,51.1,41.8,52,52,0,6,19,0,25,27,48.1,9.88
2639,32154,BUDDHA BHAGWAN MA VI MANIKHEL,LALITPUR,26.9,47.8,36.7,36.6,51.2,46.4,30,29,0,6,8,0,14,15,48.3,10.72
2640,32155,AMAR KANTI ENGLISH BOARDING SCHOOL LELE,LALITPUR,46,60.3,58.3,33.1,57.9,53.1,26,26,2,14,8,0,24,2,92.3,46.78
2641,32157,GYAN BIKAS SECONDARY SCHOOL THECHO,LALITPUR,52.4,58.8,62.9,52,66.9,53.1,16,16,0,15,1,0,16,0,100,54.52
2642,32158,SAYAPATRI (MARIGOLD) SCHOOL SINCHAHITY,LALITPUR,47.5,58.1,64.9,51.5,56.6,54.1,17,17,3,8,3,0,14,3,82.4,41.94
2643,32159,BHASSARA (ENLIGHTEN) AWASIYA MA VI PURNACHANDI,LALITPUR,55.8,72.5,83.1,61.8,56.8,61.1,20,20,4,15,1,0,20,0,100,58.09
2644,32160,ANANT ENGLISH SCHOOL SIDDHIPUR,LALITPUR,54.7,59.8,66.2,32.8,59.9,46.2,36,36,1,30,2,0,33,3,91.7,48.79
2645,32161,KINGDOM STAR ENGLISH SCHOOL TAUKHEL GODAWARI,LALITPUR,54.2,61.2,62.8,55.2,61.6,56.3,22,22,3,19,0,0,22,0,100,57.69
2646,32162,MOUNT OLIVE ENGLISH AWASIYA MA VI SIDDHIPUR,LALITPUR,46.7,58,67.7,54.1,66.4,52.8,20,20,2,13,5,0,20,0,100,53.92
2647,32163,GYAN BIGYAN BOARDING SCHOOL NAKHIPOT,LALITPUR,53.1,50.4,60.5,36.8,52.5,55.9,11,11,0,6,5,0,11,0,100,49.53
2648,32164,VIDYA SAGAR BOARDING SCHOOL GODAVARI,LALITPUR,55,60.2,73.8,55.7,64.2,55.8,33,33,7,23,3,0,33,0,100,58.03
2649,32165,GRAND ACADEMY LALITPUR-14 TALCHHIKHEL TUTEPANI,LALITPUR,54.6,62.5,69.4,46.6,51.1,61.5,21,21,2,19,0,0,21,0,100,56.99
2650,32166,NAVA SURYODAYA ENGLISH SCHOOL SUNAKOTHI,LALITPUR,46.8,55.1,64.4,44.6,60.6,47.8,30,30,0,19,10,0,29,1,96.7,48.74
2651,32167,DIBYA JYOTI ENGLISH SCHOOL BUNGAMATI,LALITPUR,50,62,59.7,50.6,63.1,48.4,21,21,1,14,5,0,20,1,95.2,49.41
2652,32168,EMERALD ACADEMY KUPONDOLE,LALITPUR,56,63.5,75.4,57.8,61.3,53.6,13,13,1,12,0,0,13,0,100,56.53
